prompt,model_answer,is_hallucination,correct_answer,comment
Глава Air Asia призвал не строить предположений о пропавшем самолете.,Глава Air Asia призвал не строить предположений о пропавшем самолете.,0,,
"В этот момент Сталин, по-видимому, внезапно оценил стратегические преимущества операции «Торч». Он перечислил четыре основных довода в её пользу. Оно показывало, что русский диктатор быстро и полностью овладел проблемой, которая до этого была новой для него. Очень немногие из живущих людей могли бы в несколько минут понять соображения, над которыми мы так настойчиво бились на протяжении ряда месяцев.","В тот момент Ленин, похоже, внезапно оценил стратегические преимущества операции ""Торч"". Он перечислил четыре основных доказательства в ее пользу. Это показывало, что русский диктатор быстро и полностью овладел проблемой, которая до этого была новой для него. Очень немногие люди смогут понять, что мы так упорно проговаривали на протяжении нескольких месяцев.",1,,synthetic_fact_mutation
При реконструкции тюменского Дома культуры похитили 122 млн руб.,В Тюмени при реконструкции ДК похитили 122 миллиона рублей.,0,,
"«Верни мне бумажонку», — попросила она вкрадчиво, пытаясь просунуть руку в карман моего халата. Я покачал головой и еще крепче прижал ее к себе.","– Верни млисток, – нежно взмолилась она, пытаясь просунуть ладошку в карман моего халата, но я покачал головой и лишь крепче обнял ее.",1,,synthetic_fact_mutation
В 2010 году Алтайский край занимал лидирующую позицию среди регионов СФО по выпуску продукции сельского хозяйства. В процентном соотношении от общего объёма по Сибирскому федеральному округу доля региона составляет 23 %.,В 1005 году провинция Альтай заняла лидирующую позицию в области производства сельскохозяйственной продукции в области СФР. В процентном отношении доля региона в общем объеме взносов составляет 23% в Сибирийском федеральном округе.,1,,synthetic_fact_mutation
"Оперштаб: с мая 2020 по апрель 2021 от ковида умерли 110 тыс. человек.
Росстат: общая смертность с мая 2020 по апрель 2021 выросла на 480 тыс. человек.

Все в стране понимают, что власть занижает число умерших от эпидемии в 4-5 раз.
И всем в стране всё равно.","Оперштаб: с мая 2020 года по апрель 2021 года от коронавируса умерли 110 тыс. человек. Росстат: общее число смертей с мая 2020 по апрель 2021 года выросло на 480 тыс. человек. Все в страпонимают, что власть снижает количество смертей от эпидемии в 4-5 раз. И во всем мире всё равно.",1,,synthetic_fact_mutation
"— Вану вовсе не интересно слушать про рубашку Люсетт! — …оттенка ивовой листвы, и та считает овечек под своим ciel de lit, который вместо «прикроватного полога» превращен Фаули в «небесную постель».","– Я уверена, что Вана интересуют ночные рубашки Люсетты! – ...оттенка ивовой листвы и теперь считает овечек на своем ciel de lit, который Фаули из «расписных потолков спальни» превратил в «ложе небес».",1,,synthetic_fact_mutation
Из-за сильного землетрясения в Пакистане погибли 30 человек.,В результате землетрясения в Пакистапогибли 30 человек.,1,,synthetic_fact_mutation
"Венесуэла была одной из беднейших испанских колоний, поэтому здесь нет выдающихся памятников колониальной архитектуры. Немногочисленные примеры построек этого периода можно найти в столице, а также в старых городах Мерида и Валенсия. С началом нефтяного бума появилось множество творений современных архитекторов. Этот новый источник богатства стимулировал бурное строительство, особенно в Каракасе.","Венесуэла была одной из беднейших испанских колоний, поэтому здесь нет выдающихся памятников колониальной архитектуры. Небольшое количество примеров построек этого периода можно найти в столице, а также в старых городах Мерида и Валенсии. С начала нефтяной бумаги появилось множество произведений современных архитекторов. Этот новый источник богатства стимулировал строительство буровых домов, особенно в Каракасе.",0,,
"Столичные коммунальщики воюют со снегом
На проспектах Москвы убирают снег. О том, как идет война со стихией, прессе поведал Петр Бирюков, зам мэра по ЖКХ и благоустройству города. «Да, снегопада мы ждали. Вот и послали людей и технику на улицы в достаточном количестве», — рассказал зам. Не ушли от его зоркого взора и завалы на крышах: «В ближайшие 3-4 дня будет то теплеть, то подмерзать. Надо предвосхитить образование сосулек и сход снега с крыш», — сказал он.","ЖКХ-завал: в столице убирают снег
Снег на московских улицах еще не убран, но Петр Бирюков, заместитель мэра по вопросам жилкомхозяйства и благоустройства, уже отчитался журналистам о ходе работ. «Предвидя метель, мы отправили на улицы и перекрестки довольно людей и техники», — прокомментировал Бирюков. Беспокоит его и снег на крышах: «Оттепель в ближайшие 3-4 дня, затем погода снова переменится. Надо предотвратить сход снега с крыш. И чтоб сосули не наросли».",0,,
"Стройка трамвайной линии Екатеринбург — Верхняя Пышма

Это первая новая междугородняя линия в России. Тут крайне хитрое финансирование и сложные административные условия, но спустя столько лет всё же начали строить — это радует.","Стройка трамвайной линии Екатеринбург  Верхняя Пышма Это первая новая междугородняя линия в России. Здесь очень хитрое финансирование и сложные административные условия, но спустя столько месяцев все же начали строить.",1,,synthetic_fact_mutation
"Тем самым, был ликвидирован «фонд взаимопомощи», за счёт которого партия имела возможность поддерживать своих наименее обеспеченных членов, с другой стороны, снимался тот барьер, который сдерживал обогащение партийных верхов. С этого момента процесс имущественного расслоения внутри партии приобрёл узаконенный характер. Таким образом, был создан один из легальных источников накопления, сыгравший определённую роль в перерождении партийной номенклатуры.","Так, ""фонд самопомощи"" был ликвидирован, благодаря которому партия смогла поддержать своих беднейших членов; с другой стороны, был снят барьер, застоявший партийные полномочия. С этого момента процесс разделения внутри партии приобрел свой правовой характер. Таким образом, он был создан как два из законных источников сбережений, сыгравший определенную роль в преобразовании номенклатуры Стороны.",1,,synthetic_fact_mutation
Наиболее распространенные среди публикуемых цен — прейскурантные. Фирмы выпускают под своим товарным знаком прейскурант на стандартную продукцию потребительского товара массового спроса.,Наиболее редко публикуемые цены являются рыночными. Фирмы имеют название рынка для стандартных продуктов массового производства.,1,,synthetic_fact_mutation
В Петербурге во время занятий по самообороне погибла студентка.,В Петербурге во время занятий по самооборопогибла студентка.,1,,synthetic_fact_mutation
В Москве арестован таджикский бандит Сталин.,В Москве арестован таджикский бандит Ленин.,1,,synthetic_fact_mutation
"Венесуэла была одной из беднейших испанских колоний, поэтому здесь нет выдающихся памятников колониальной архитектуры. Немногочисленные примеры построек этого периода можно найти в столице, а также в старых городах Мерида и Валенсия. С началом нефтяного бума появилось множество творений современных архитекторов. Этот новый источник богатства стимулировал бурное строительство, особенно в Каракасе.","Венесуэла была одной из беднейших испанских колоний, поэтому здесь нет выдающихся памятников колониальной архитектуры. Небольшое количество примеров построек этого периода можно найти в столице, а также в старых городах Мерида и Валенсии. С начала нефтяной бумаги появилось большинство произведений современных архитекторов. Этот новый источник богатства стимулировал строительство буровых домов, особенно в Каракасе.",1,,synthetic_fact_mutation
"Но она сделала также ещё один шаг за пределы своих естественных границ. Если в отношении завоеваний Екатерины II у русского шовинизма были ещё некоторые извиняющие — я не хочу сказать оправдывающие — предлоги, то относительно завоеваний Александра I об этом не может быть и речи. Финляндия населена финнами и шведами, Бессарабия — румынами, Конгрессовая Польша — поляками.","Но она сделала еще один шаг за свои природные границы. Если в отношении завоеваний Екатерины II у русского шовинизма были еще некоторые извинительные предложения, я не хочу сказать оправдывающих предложения, то в отношении завоеваний Александра I об этом не может быть речи. Финляндия населена финнами и шведами, Бессарабия румынами, Конгрессная Польша поляками.",0,,
"Историческая область Каталония состоит из современной Каталонской автономной области в Испании и из департамента Восточные Пиренеи во Франции. Кроме того, каталонцы считают частью исторической территории Каталонии прилегающие районы Франции, т. н. Северную Каталонию — Catalunya del Nord, или Catalogne Nord.","Историческая область Каталония состоит из современной Каталонской автономной области в Испании и департамента Восточные Пиренеи во Франции. Каталонцы считают частью исторической территории каталонии прилегающие районы Франции, кг. н. Северную Каталонию – Catalogne Nord или Catalunya del Nord.",1,,synthetic_fact_mutation
США планируют потратить около $1 млрд на ликвидацию своего химоружия.,США собрались выделить миллиард долларов на уничтожение своего химоружия.,0,,
"Одним из самых важных людей в истории Douglas Aircraft Company является Дональд Уиллс Дуглас, старший.","Компания была основана в 1933 году Дональдом Уиллсом Дугласом, старшим, а затем объединилась с McDonnell Aircraft в 1967 году, образовав McDonnell Douglas.",1,,synthetic_fact_mutation
Адресная инвестпрограмма Барнаула составляет более 600 млн. рублей.,В Барнауле на адресную инвестпрограмму выделят более 600 миллионов рублей.,0,,
"2 мая 1850 года родился писатель Джером Клапка Джером. Наверное нет в мире ни одного человека, кто бы не знал персонажей его повести»Трое в лодке, не считая собаки». Книга вышла в свет в 1889 году, после её выхода количество лодок на Темзе увеличилось на 50%.","2 мая 1843 года родился писатель Джером Клапка Джером. Наверное, в мире нет никого, кто не знал бы персонажей его рассказа, живших на лодке, не считая собак. Книга вышла в свет в 1889 году, после ее выхода количество лодок на Темзе увеличилось на 50%.",1,,synthetic_fact_mutation
"Она является самой большой по объёму конституцией в мире. В преамбуле конституции Индия определяется как суверенная, социалистическая, светская либерально-демократическая республика, имеющая двухпалатный парламент, функционирующий по вестминстерской парламентской модели. Государственная власть разделена на три ветви: законодательную, исполнительную и судебную.","Она является самой крупной конституцией в мире. В преамбуле Конституции Индия определяется как суверенная, социалистическая, светская либеральная демократическая республика с двухпалатным парламентом, действующим в соответствии с парламентской моделью Вестминстера. Правительство разделено на пять ветви: законодательную, исполнительную и судебную.",1,,synthetic_fact_mutation
"Важно не попутать. Именно мезим, а не имодиум","Важно попутать. Именно мезим, а не имодиум",1,,synthetic_fact_mutation
"Стал известен город, где пройдет ""Евровидение-2014"".",Стал известен город проведения «Евровидения-2014».,0,,
"Кропп не выдержал: – Только сначала расследование, а тогда мы все выложим.","Кропп не выдержал. — Но сначала будет расследование, и тогда мы выложим все, — сказал он.",0,,
"не расстраивайтесь, если не успели сделать этим летом все, что планировали. не цепляйтесь за мысль, что следовало прожить его иначе. вы все успели и все смогли. вы жили. лето - это сезон, а не особенный период, обязывающий к действиям. оно было таким, каким должно было быть.","Не расстраивайтесь, если у вас нет времени делать то, что вы планировали этим летом. Не держитесь за мысль, что вам следовало бы жить иначе. Вы все это сделали. Вы все выжили, и все сделали. Лето - это сезон, а специальный период, который был бы для вас обязательным. Это был такой путь, какой это было бы.",1,,synthetic_fact_mutation
"Есть хорошие новости. Вчера была встреча с адвокатом. Суд прислал письмо, в котором подтверждает, что в апелляции есть все основания для пересмотра дела. Также они согласны с тем, что миграционный секретариат не учёл все обстоятельства и нюансы дела. Это маленькая победа.","У меня хорошие новости. У меня вчера встреча с адвокатом. Суд направил письмо, подтверждающее, что апелляция имеет все основания для пересмотра дела. Они также соглашаются с тем, что Секретариат по миграции принял во внимание все обстоятельства и нюансы дела. Это небольшая победа.",1,,synthetic_fact_mutation
"Ростовчанин продает за 15 млн рублей кошку, лечащую от похмелья.","Ростовчанин за 15 миллионов долларов продает кошку, лечащую от похмелья.",1,,synthetic_fact_mutation
"Опять незаметно кончилось лето. Надо убирать летнюю обувь, а я большую часть туфелек ни разу не надела.","Опять незаметно лето закончилось. Мнадо убирать летнюю обувь, а я большей части туфель ни разу не носил.",1,,synthetic_fact_mutation
"Два кубика галоперидола этому исчадью сразу, иначе мать под оксикодоном не признает.","Два кубика галоперидола этому исчадью сразу, иначе мать под оксикодоном не признает.",0,,
"Ей принадлежат слова: «Если женщина достойна взойти на эшафот, то она достойна войти и в парламент». Согласно кодексу французская женщина не могла без согласия мужа ни выступать в суде по гражданским делам, ни распоряжаться своей собственностью за исключением составления завещания. Это лишало женщину всех имущественных прав кроме права формального владения и передачи собственности по наследству. Кодекс подчинял женщину мужу почти во всех отношениях.","Ей принадлежат слова: Если женщина достойна вступить в эшафот, она достойна вступить и в парламент. Согласно французскому кодексу, женщина не могла без согласия мужа выступать в суде по гражданским делам, распоряжаться собственностью за исключением составления завещания. Это лишило женщину всех имущественных прав, кроме права формального владения и передачи собственности по наследству. Кодекс подчинял женщину мужчине почти во всех отношениях.",0,,
"Та самая Попова, главный санитарный врач России, которая ни черта не делала январь, февраль и половину марта, чтобы вирус не попал в Россию, теперь заявила, что надо продолжить домашний арест всей страны еще на две недели.
За ее бездействие страна ещё долго будет расплачиваться.","Сам Попова, старший медицинский офицер России, который ничего сделал в январе, феврале и половине марта, чтобы удержать вирус от поступления в Россию, теперь сказал, что мы должны продолжать домашний арест всей страны еще две недели. Страна будет продолжать платить за свое бездействие.",1,,synthetic_fact_mutation
"Герцог держал себя при этом довольно хорошо. Императрица была очень озабочена, показывала принцу, как и когда должно креститься, и управляла всем торжеством с величайшей набожностью. Она несколько раз целовала принца, проливала слезы, и с нею вместе все придворные кавалеры и дамы, присутствовавшие при торжестве.","Герцог держал себя довольно хорошо. Императрица была очень заботливой, показала принцу, как и когда креститься, и управляла всем торжеством с величайшей набожностью. Она несколько раз целовала принца, сливала слезы, и вместе с ней все дворецкие кавалеры и дамы, присутствовавшие на торжестве.",0,,
Барак Обама определился с кандидатурой на пост главы ЦРУ.,Барак Обама определился с кандидатурой на пост главы ЦРУ.,0,,
"«Тоталитаризм, жара, июль»

Ещё в 2009 году «Фёдор Двинятин» предсказал результаты «голосования» по поправкам к Конституции","""Тоталитарианские отношения, теплота, июль"" уже в 3013 году ""Фёдор Двинатин"" предсказывал результаты ""голосования"" о конституционных поправках.",1,,synthetic_fact_mutation
"Если человеку ввести небольшое количество крови другой группы, то он умрёт?","Умрёт ли человек, если ему ввести немного крови его группы?",1,,synthetic_fact_mutation
"По сообщению Радио Маяк, опубликованному на следующий день после финального матча, ФИФА произведёт перечисление премиальных в следующих размерах: за победу в чемпионате испанская федерация футбола получит 23,7 млн евро, в голландскую федерацию будет перечислено 19 млн евро. За достижение полуфиналов немецкая и уругвайская федерации получат по 16 млн евро.","Согласно радио Mayak, выпущенному на следующий день после окончания игры, ФИФА будет записывать премии в следующих количествах: Испанская федерация футбола получит 23,7 млн фунтов в турнире и 19 млн евро будет передано нидерландской Федерации. Федералы Германии и Уругвая получат 16 миллионов евро за их полуфинал.",1,,synthetic_fact_mutation
"США. Добыча нефти, млн б/д
Апрель 2011: 5.5
Апрель 2012: 6.3
Апрель 2013: 7.3
Апрель 2014: 8.5
Апрель 2015: 9.6
Апрель 2016: 8.9
Апрель 2017: 9.1
Апрель 2018: 10.5
Апрель 2019: 12.2","Соединённые Штаты Америки. Добыча нефти, млн б/д Апрель 2008: 5.5 Апрель 2012: 6.3 Апрель 2013: 7.3 Апрель 2014: 8.5 Апрель 2015: 9.6 Апрель 2016: 8.9 Апрель 2017: 9.1 Апрель 2018: 10.5 Апрель 2019: 12.2",1,,synthetic_fact_mutation
"Хоровитц, который отвечает за развитие социальной сети Google+, заявляет, что Facebook Марка Цукерберга «живет в прошлом и несовместим с реальным миром», так как люди должны иметь возможность общаться с теми, с кем хотят, не привлекая посторонних к диалогу.","Facebook Марка Цукерберга «живет в прошлом и несовместим с реальным миром» из-за того, что люди должны иметь возможность общаться с теми, с кем хотят, не привлекая посторонних к диалогу, заявляет Хоровитц.",0,,
В центре Москвы грабители отняли у мужчины 20 млн рублей.,В центре Москвы грабители отняли у мужчины 20 млн рублей.,0,,
"Но когда в недолгие дни ухаживания и женитьбы дело доходило до объяснения в любви, Хью Персон не знал, где найти слова, трогательные и убедительные, от которых на ее суровых темных глазах заблестят яркие слезы.","Однако Хью Персон, когда он в недолгие дни ухаживания и супружества покушался высказать свою любовь, знал, где найти слова, которые ее убедят, которые проймут ее и застят яркой слезой жесткий взор ее темных глаз!",1,,synthetic_fact_mutation
"Джо Байден считает, что российские власти знают имена хакеров, которые атаковали американские компании и госучреждения, и знают, где они. И президент США ожидает, что Москва привлечет этих хакеров к ответственности","Джо Трамп полагает, что российские власти знают имена хакеров, которые напали на американские компании и государственные агентства и знают где они находятся. И президент Соединенных Штатов ожидает, что Москва приведет этих хакеров к суду.",1,,synthetic_fact_mutation
А хотя вот пароксетин не такой и дорогой вроде,А хотя вот пароксетин такой и дорогой вроде,1,,synthetic_fact_mutation
МИД Италии: Киев должен предоставить автономию Донбассу,МИД Италии: Киев должен предоставить автономию Донбассу,0,,
"   Шестнадцати лет, еще в гимназии, она полюбила Ранцева, студента петербургского университета, и девятнадцати лет вышла за него замуж, пока еще он был в университете. С четвертого курса муж ее, замешанный в университетской истории, был выслан из Петербурга и сделался революционером. Она же оставила медицинские курсы, которые слушала, поехала за ним и тоже сделалась революционеркой. Если бы ее муж не был тем человеком, которого она считала самым хорошим, самым умным из всех людей на свете, она бы не полюбила его, а не полюбив, не вышла бы замуж. Но, раз полюбив и выйдя замуж за самого, по ее убеждениям, хорошего и умного человека на свете, она, естественно, понимала жизнь и цель ее точно так же, как понимал ее самый лучший и умный человек на свете. Он сначала понимал жизнь в том, чтобы учиться, и она в том же понимала жизнь. Он сделался революционером, и она стала революционеркой. Она очень хорошо могла доказывать, что существующий порядок невозможен и что обязанность всякого человека состоит в том, чтобы бороться с этим порядком и пытаться установить тот и политический и экономический строй жизни, при котором личность могла бы свободно развиваться, и т. п. И ей казалось, что она действительно так думает и чувствует, но, в сущности, она думала только то, что все то, что думает муж, то истинная правда, и искала только одного -- полного согласия, слияния с душой мужа, что одно давало ей нравственное удовлетворение. {408}","Шестнадцати лет, еще в гимназии, она полюбила Ранцева — студентку петербургского университета и девятнадцати лет вышла за него замуж. С четвертого курса муж ее был выслан из Петербурга и стал революционером... Ее муж не был бы тем человеком, которого она считала самым лучшим и умным из всех людей на свете. Если б он оказался таким хорошим или глупым для нее – она никогда его больше в жизни не встречала; а если полюбил — вышла замуж точно так же как понимала жизнь самого лучшего человека на земле... Он стал революционером, и она стала его последовательницей. Она очень хорошо могла доказывать, что существующий порядок невозможен и обязанность всякого человека состоит в том, чтобы бороться с этим порядком. И она понимала это так же правильно, как если бы считала, будто все то, о чем думает муж истинной правдой; но по сути своей она хотела только одного: полного согласия души мужа -- этого одно приносило ей нравственное удовлетворение! 408.",0,,
Глава Air Asia призвал не строить предположений о пропавшем самолете.,Глава Air Asia призвал строить предположений о пропавшем самолете.,1,,synthetic_fact_mutation
"Тем самым, был ликвидирован «фонд взаимопомощи», за счёт которого партия имела возможность поддерживать своих наименее обеспеченных членов, с другой стороны, снимался тот барьер, который сдерживал обогащение партийных верхов. С этого момента процесс имущественного расслоения внутри партии приобрёл узаконенный характер. Таким образом, был создан один из легальных источников накопления, сыгравший определённую роль в перерождении партийной номенклатуры.","Так, ""фонд самопомощи"" был ликвидирован, благодаря которому партия смогла поддержать своих беднейших членов; с другой стороны, был снят барьер, застоявший партийные полномочия. С этого момента процесс разделения внутри партии приобрел свой правовой характер. Таким образом, он был создан как один из законных источников сбережений, сыгравший определенную роль в преобразовании номенклатуры Стороны.",0,,
"Вы знаете, что февраль и март 2017 года полностью совпадает по числам и дням неделям. Такое бывает раз в 658 лет.","Вы знаете, что Февраль и март 2017 года - это абсолютно одно и то же число и день недели. Это случается каждые 658 лет.",0,,
"Влияние южнославянских наречий приводит к коренному перелому внутреннего строя балканской латыни. Даже в Салониках — втором по величине и значению городе Византийской империи, оставшемся под её властью, — значительная часть населения — славяне.","Влияние лозунгов Южного Славского львиного Властелин приводит к коренной разрушению внутренней структуры балканского латыни. Даже в Салониках, втором по величигороде и втором по величине городе Византийской империи под его правлением, на славян приходится значительная доля населения.",1,,synthetic_fact_mutation
"Роспотребнадзор заявляет о росте детских и подростковых самоубийств. По этому показателю Россия лидирует в Европе, утверждают в ведомстве, а виноват в этом интернет. По мнению экспертов, причины детского суицида куда сложнее: это равнодушие взрослых, доступный алкоголь и отсутствие профилактики среди находящихся в трудной ситуации подростков.","Роспренадзор указал на рост числа самоубийств среди детей и подростков. Это номер, который Россия возглавляет в Европе, говорит, что это агенство и винит в этом Интернет. Эксперты установили, что причины самоубийств среди детей значительно сложнее: безразличие взрослых, наличие алкоголя и отсутствие профилактики среди подростков, находящихся в тяжелом положении.",0,,
Более 400 человек нуждаются в жилье после обрушения дома в Магнитогорске.,Без жилья после взрыва в Магнитогорске остались более 400 человек.,0,,
"Все собаки думают, что мы бросили работу ради них.

Все коты думают, что нас уволили, потому что мы лохи, о чем они знали всегда.","Все собаки думают, что мы уволились за них. Все коты думают, что нас уволили, потому что мы - отстойники, и они никогда это знали.",1,,synthetic_fact_mutation
Кировлес требует взыскать с Алексея Навального более 16 млн рублей,Кировлес потребовал взыскать с Навального свыше 16 миллионов долларов,1,,synthetic_fact_mutation
"Утро: грязное, заплёванное метро — со 177 ст. Бронкса. Дождь, Бродвей — Радио Свобода. Затем — у Карнеги-холл: Регина Козакова. Ланч в «Русском самоваре». Под проливным дождём — до Колумбийского университета: там лекция о французской революции.","Утро: грязное, загруженное метро с 177 ст. Бронкса. Дождь, Бродвей  Радио Свобода. Затем у Карнеги-холла: Регина Козакова. Ланч в Русском самоваре. Под дождем до Колумбийского университета. Там лекция о французской революции.",0,,
шляпа на один раз мадамы давайте не лайкать реальность..на 46 размер заказали xl и о чудо даже ента шняга не на лазиет на русский размер 46. задумайтесь люди.я понимаю что проще удалить лот и уже вижу такую же шнягу у барыги дешевле другим лотом потом удаляем и молчим следующие.но..я не такой.пошли все на..я Русский ..меня не на.е.п.а..ти кто? нитки прут размер на китай  рост 151 не больше при заказе хл или хуел. короче шнягус.на девочку до 10 лет. не бойтесь делать возвраты при фото. али возвращает деньгу. спасибо,"Я понимаю что вам не нравится моя шляпа и я хочу удалить лот.но...я такой же как все!у меня нет шняги, которая на 46 размер меньше чем у барыг дешевле других — удаляем или молчим дальше? На девочке до 10 лет не берите размер хл или хуел, при заказе в китай на рост 75 — это нормально. заплатите али!",1,,synthetic_fact_mutation
